key,0,1
#,,
int32,str,str
0,"TEXT_FESGSC201_03133_SEQ_00","※ 이 퀘스트는 기간 한정 퀘스트입니다.

울다하에 있는 겁먹은 여성은 모험가에게 부탁하고 싶은 일이 있는 듯하다."
1,"TEXT_FESGSC201_03133_SEQ_01","※ 이 퀘스트는 기간 한정 이벤트 개최 기간에만
     진행하실 수 있습니다.
     개최 기간이 끝나면 진행하실 수 없으니 주의하십시오.
     자세한 사항은 공식 홈페이지를 참조하시기 바랍니다.

겁먹은 여성의 말에 의하면, 현재 정체불명의 무언가가 골드 소서를 배회하고 있는 모양이다. 자세한 이야기를 듣기 위해, 골드 소서에 있는 '고드베르트'에게 가자."
2,"TEXT_FESGSC201_03133_SEQ_02","고드베르트에게 수수께끼의 하얀 물체에 대해 자세한 이야기를 들었다. '이벤트 광장'에서 목격 정보를 모으자."
3,"TEXT_FESGSC201_03133_SEQ_03","일확천금을 노리는 남자에게 수수께끼의 하얀 물체의 목격 정보를 들었다. 수수께끼의 하얀 물체는 도망쳐버린 듯하다. '신비의 광장'에서 목격 정보를 모으자."
4,"TEXT_FESGSC201_03133_SEQ_04","텔비 케술비에게 수수께끼의 하얀 물체의 목격 정보를 들었다. 수수께끼의 하얀 물체는 방금 전에 목격된 듯하다. '원형 광장'에서 수수께끼의 하얀 물체로 보이는 것을 찾자."
5,"TEXT_FESGSC201_03133_SEQ_05","모그리 두 마리를 발견했다. '남자친구 모그리'의 이야기를 들어 보자."
6,"TEXT_FESGSC201_03133_SEQ_06","소동의 원인은 모그리들인 것으로 판명되었다. '고드베르트'에게 진실을 알려주자."
7,"TEXT_FESGSC201_03133_SEQ_07","고드베르트가 사태를 수습할 것을 약속했다. 남자친구 모그리는 도움을 준 모험가에게 감사하는 듯하다. 골드 소서 축제를 즐기며 모그리들을 지켜봐 주자."
8,"TEXT_FESGSC201_03133_SEQ_08",""
9,"TEXT_FESGSC201_03133_SEQ_09",""
10,"TEXT_FESGSC201_03133_SEQ_10",""
11,"TEXT_FESGSC201_03133_SEQ_11",""
12,"TEXT_FESGSC201_03133_SEQ_12",""
13,"TEXT_FESGSC201_03133_SEQ_13",""
14,"TEXT_FESGSC201_03133_SEQ_14",""
15,"TEXT_FESGSC201_03133_SEQ_15",""
