key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZH012_04307_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
작가의 집에 있는 에피프론은 걱정거리가 있는 듯하다."
1,"TEXT_AKTKZH012_04307_SEQ_01",""
2,"TEXT_AKTKZH012_04307_SEQ_02",""
3,"TEXT_AKTKZH012_04307_SEQ_03",""
4,"TEXT_AKTKZH012_04307_SEQ_04",""
5,"TEXT_AKTKZH012_04307_SEQ_05",""
6,"TEXT_AKTKZH012_04307_SEQ_06",""
7,"TEXT_AKTKZH012_04307_SEQ_07",""
8,"TEXT_AKTKZH012_04307_SEQ_08",""
9,"TEXT_AKTKZH012_04307_SEQ_09",""
10,"TEXT_AKTKZH012_04307_SEQ_10",""
11,"TEXT_AKTKZH012_04307_SEQ_11",""
12,"TEXT_AKTKZH012_04307_SEQ_12",""
13,"TEXT_AKTKZH012_04307_SEQ_13",""
14,"TEXT_AKTKZH012_04307_SEQ_14",""
15,"TEXT_AKTKZH012_04307_SEQ_15",""
16,"TEXT_AKTKZH012_04307_SEQ_16",""
17,"TEXT_AKTKZH012_04307_SEQ_17",""
18,"TEXT_AKTKZH012_04307_SEQ_18",""
19,"TEXT_AKTKZH012_04307_SEQ_19",""
20,"TEXT_AKTKZH012_04307_SEQ_20",""
21,"TEXT_AKTKZH012_04307_SEQ_21",""
22,"TEXT_AKTKZH012_04307_SEQ_22",""
23,"TEXT_AKTKZH012_04307_SEQ_23",""
24,"TEXT_AKTKZH012_04307_TODO_00","노력가 관찰자에게 '/쿡쿡' 사용"
25,"TEXT_AKTKZH012_04307_TODO_01","에피프론과 대화"
26,"TEXT_AKTKZH012_04307_TODO_02",""
27,"TEXT_AKTKZH012_04307_TODO_03",""
28,"TEXT_AKTKZH012_04307_TODO_04",""
29,"TEXT_AKTKZH012_04307_TODO_05",""
30,"TEXT_AKTKZH012_04307_TODO_06",""
31,"TEXT_AKTKZH012_04307_TODO_07",""
32,"TEXT_AKTKZH012_04307_TODO_08",""
33,"TEXT_AKTKZH012_04307_TODO_09",""
34,"TEXT_AKTKZH012_04307_TODO_10",""
35,"TEXT_AKTKZH012_04307_TODO_11",""
