key,0,1
#,,
int32,str,str
0,"TEXT_SUBFST057_00378_SEQ_00","귀곡부대 로즐린은 발판 청소를 도와줄 사람을 찾고 있는 듯하다."
1,"TEXT_SUBFST057_00378_SEQ_01","귀곡부대가 관리 중인 발판에 난쟁이 거미전갈이 알을 낳은 모양이다. 로즐린을 대신하여 두 군데에 있는 '거미전갈 알'을 제거하자."
2,"TEXT_SUBFST057_00378_SEQ_02","거미전갈 알을 무사히 제거했다. '대지신의 망각'에 있는 '로즐린'에게 보고하자."
3,"TEXT_SUBFST057_00378_SEQ_03","작업을 마쳤다고 보고하자 로즐린은 안심한 모양이다."
4,"TEXT_SUBFST057_00378_SEQ_04",""
5,"TEXT_SUBFST057_00378_SEQ_05",""
6,"TEXT_SUBFST057_00378_SEQ_06",""
7,"TEXT_SUBFST057_00378_SEQ_07",""
8,"TEXT_SUBFST057_00378_SEQ_08",""
9,"TEXT_SUBFST057_00378_SEQ_09",""
10,"TEXT_SUBFST057_00378_SEQ_10",""
11,"TEXT_SUBFST057_00378_SEQ_11",""
12,"TEXT_SUBFST057_00378_SEQ_12",""
13,"TEXT_SUBFST057_00378_SEQ_13",""
14,"TEXT_SUBFST057_00378_SEQ_14",""
15,"TEXT_SUBFST057_00378_SEQ_15",""
16,"TEXT_SUBFST057_00378_SEQ_16",""
17,"TEXT_SUBFST057_00378_SEQ_17",""
18,"TEXT_SUBFST057_00378_SEQ_18",""
19,"TEXT_SUBFST057_00378_SEQ_19",""
20,"TEXT_SUBFST057_00378_SEQ_20",""
21,"TEXT_SUBFST057_00378_SEQ_21",""
22,"TEXT_SUBFST057_00378_SEQ_22",""
23,"TEXT_SUBFST057_00378_SEQ_23",""
24,"TEXT_SUBFST057_00378_TODO_00","거미전갈 알 제거"
25,"TEXT_SUBFST057_00378_TODO_01","로즐린에게 보고"
26,"TEXT_SUBFST057_00378_TODO_02",""
27,"TEXT_SUBFST057_00378_TODO_03",""
28,"TEXT_SUBFST057_00378_TODO_04",""
29,"TEXT_SUBFST057_00378_TODO_05",""
30,"TEXT_SUBFST057_00378_TODO_06",""
31,"TEXT_SUBFST057_00378_TODO_07",""
32,"TEXT_SUBFST057_00378_TODO_08",""
33,"TEXT_SUBFST057_00378_TODO_09",""
34,"TEXT_SUBFST057_00378_TODO_10",""
35,"TEXT_SUBFST057_00378_TODO_11",""
36,"TEXT_SUBFST057_00378_TODO_12",""
37,"TEXT_SUBFST057_00378_TODO_13",""
38,"TEXT_SUBFST057_00378_TODO_14",""
39,"TEXT_SUBFST057_00378_TODO_15",""
40,"TEXT_SUBFST057_00378_TODO_16",""
41,"TEXT_SUBFST057_00378_TODO_17",""
42,"TEXT_SUBFST057_00378_TODO_18",""
43,"TEXT_SUBFST057_00378_TODO_19",""
44,"TEXT_SUBFST057_00378_TODO_20",""
45,"TEXT_SUBFST057_00378_TODO_21",""
46,"TEXT_SUBFST057_00378_TODO_22",""
47,"TEXT_SUBFST057_00378_TODO_23",""
48,"TEXT_SUBFST057_00378_ROSELINE_000_1","여기까지 온 김에 한 가지 부탁 좀 해도 될까?
실은 발판 위에 난쟁이 거미전갈이
알을 낳고 가는 바람에 청소를 못 하겠거든."
49,"TEXT_SUBFST057_00378_ROSELINE_000_2","물론 발판 청소는 귀곡부대 소속인 내가 맡은 일이지만,
'거미전갈 알'이 좀…… 징그러워서 말이지."
50,"TEXT_SUBFST057_00378_ROSELINE_000_3","거미전갈 알은 위쪽 발판과 아래쪽 발판에 한 군데씩 있다.
부탁해, 나 대신 가서 알을 청소해줘!"
51,"TEXT_SUBFST057_00378_ROSELINE_000_11","'거미전갈 알'을 제거했구나.
수고 많았다."
52,"TEXT_SUBFST057_00378_ROSELINE_000_12","귀곡부대에 소속되어 경계에 임하는 몸으로서
포악한 마물이야 두려울 것 없지만,
알의 그 탱글탱글한 감촉만큼은 도저히 못 견디겠어……."
53,"TEXT_SUBFST057_00378_ROSELINE_000_13","어쨌든 네 덕분에 살았어.
고맙다."
54,"TEXT_SUBFST057_00378_POP_MESSAGE","적이 나타났습니다!!"
