key,0,1
#,,
int32,str,str
0,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_000","어머, 무슨 일이니?
'재봉'에 대해 궁금한 점이라도 있어?"
1,"TEXT_REGWILWVRGUILD_00066_Q1_000_1","무엇을 물어보시겠습니까?"
2,"TEXT_REGWILWVRGUILD_00066_A1_000_1","당신의 이야기를 들려달라고 한다"
3,"TEXT_REGWILWVRGUILD_00066_A1_000_2","'재봉'에 대한 설명을 부탁한다"
4,"TEXT_REGWILWVRGUILD_00066_A1_000_3","취소"
5,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_010","난 '향기로운 장미'라고 해.
이곳 재봉사 길드의 마스터 자리를 맡고 있지.
너무 아름다워서 가끔 사람들이 무희인 줄 아는 게 고민이란다."
6,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_011","재봉사 길드는 유행에 민감한 울다하 사람들이
가장 주목하는 패션의 중심지야."
7,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_012","이곳에서 만드는 옷은 울다하…… 아니, 에오르제아 전체의
유행을 좌지우지한다고 해도 틀린 말이 아니거든."
8,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_013","손님의 기대를 저버리지 않기 위해
나는 언제 어디서나 항상 미를 추구해…… 우후후."
9,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_020","재봉은 한마디로 '섬유 전문가'가 되는 길이라고 할 수 있겠어.
모시풀에서 뽑은 실로 천을 짜고,
다시 그 천으로 옷을 만드는 일을 하지."
10,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_021","재봉사가 만드는 옷 중에는 로브나 코티 같은
마법사나 제작자용 장비가 많은 편이야."
11,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_022","재봉 실력이 늘면 기능만 갖춘 게 아니라
세련되고 예쁘기까지 한 옷도 만들 수 있어."
12,"TEXT_REGWILWVRGUILD_00066_REDOLENTROSE_023","말로만 들으면 우리가 하는 일이 화려해보일지 모르지만
뛰어난 재봉사가 되려면 짜고 꿰매고, 짜고 꿰매고……
끊임없이 노력해야 하는 가혹한 세계란다."
