key,0,1
#,,
int32,str,str
0,"TEXT_BANARK006_04550_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정(직업 변경 제한)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
스바르나 창고에 있는 트르나는 긴장하고 있는 듯하다."
1,"TEXT_BANARK006_04550_SEQ_01","※ 이 퀘스트에는
 '<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 레벨 보정(직업 변경 제한)'<13>FF40024804F201FC03024904F201FD03EE82BE0249020103024802010320EBA088EBB2A820EBB3B4ECA09528ECA781EC978520EBB380EAB2BD20ECA09CED959C29FF04EAB080FF04EC9DB4</13> 적용됩니다.
  퀘스트 수락 시점의 직업으로만 진행할 수 있습니다.

트르나와 대화했다. 칸차나와 중요한 이야기를 하는 자리에 동석해 달라는 부탁을 받았다. 스바르나 창고의 '<Sheet(EObj,2012929,0)/>'에서 대기하자."
2,"TEXT_BANARK006_04550_SEQ_02","지정 지점에서 대기하고 트르나 일행과 대화했다. 칸차나는 지금까지의 공적을 높이 평가해, 그들이 거점을 두고 있는 땅을 정식으로 양도하겠다고 한다. 스바르나 창고에 있는 '트르나'와 대화하자."
3,"TEXT_BANARK006_04550_SEQ_03","트르나와 대화했다. 그녀는 앞으로도 하마 마차를 활용한 새로운 서비스를 생각해 나가고 싶다고 한다. 앞으로도 그들은 수많은 물건 및 사람, 그리고 생각을 배달하며 사베네어 섬을 활기차게 만들 것이다."
4,"TEXT_BANARK006_04550_SEQ_04",""
5,"TEXT_BANARK006_04550_SEQ_05",""
6,"TEXT_BANARK006_04550_SEQ_06",""
7,"TEXT_BANARK006_04550_SEQ_07",""
8,"TEXT_BANARK006_04550_SEQ_08",""
9,"TEXT_BANARK006_04550_SEQ_09",""
10,"TEXT_BANARK006_04550_SEQ_10",""
11,"TEXT_BANARK006_04550_SEQ_11",""
12,"TEXT_BANARK006_04550_SEQ_12",""
13,"TEXT_BANARK006_04550_SEQ_13",""
14,"TEXT_BANARK006_04550_SEQ_14",""
15,"TEXT_BANARK006_04550_SEQ_15",""
16,"TEXT_BANARK006_04550_SEQ_16",""
17,"TEXT_BANARK006_04550_SEQ_17",""
