key,0,1
#,,
int32,str,str
0,"TEXT_WARPINNTULIYOLLAL_PESHEKWA_000_000","어서 오세요.
'뱃머리 선실'에서 쉬시겠습니까?"
1,"TEXT_WARPINNTULIYOLLAL_PESHEKWA_000_010","어서 오세요.
다행히 저희 숙소는 습격을 피했습니다…….
'뱃머리 선실'에서 쉬시겠습니까?"
2,"TEXT_WARPINNTULIYOLLAL_PESHEKWA_000_020","어서 오세요, <Highlight>ObjectParameter(1)</Highlight> 님.
방은 변함없이 자유롭게 이용하실 수 있습니다.
'뱃머리 선실'에서 쉬시겠습니까?"
3,"TEXT_WARPINNTULIYOLLAL_Q1_000_100","무엇을 물어보시겠습니까?"
4,"TEXT_WARPINNTULIYOLLAL_A1_000_101","뱃머리 선실로 이동"
5,"TEXT_WARPINNTULIYOLLAL_A1_000_102","뱃머리 선실이란?"
6,"TEXT_WARPINNTULIYOLLAL_A1_000_103","취소"
7,"TEXT_WARPINNTULIYOLLAL_PESHEKWA_000_150","알겠습니다.
방은 준비되어 있으니 편히 쉬십시오……."
8,"TEXT_WARPINNTULIYOLLAL_PESHEKWA_000_200","'뱃머리 선실'은
외국 손님을 대접하기 위한 여관입니다."
9,"TEXT_WARPINNTULIYOLLAL_PESHEKWA_000_201","왕도 초창기에는 부두에 정박해 놓은 배에서 숙박하는
매우 간소한 형태였는데, 당연하게도 평판은 좋지 않았고…….
결국 항구에 들르는 상선이 증가하면서 지금 형태로 재건되었습니다."
10,"TEXT_WARPINNTULIYOLLAL_PESHEKWA_000_202","그때, 여관의 이름도 바뀌었습니다.
외국에서 오신 굴루쟈쟈 님의 친구분이
지붕을 뱃머리로, 실내를 선실로 보고 이름을 붙였다고 합니다."
11,"TEXT_WARPINNTULIYOLLAL_PESHEKWA_000_205","지금은 툴라이욜라에서도 최고급 여관이라 자부합니다.
당신도 분명 만족하실 겁니다."
12,"TEXT_WARPINNTULIYOLLAL_PESHEKWA_000_210","연왕님이 직접 호출하시다니…… 도대체 무슨 일일까요?"
13,"TEXT_WARPINNTULIYOLLAL_PESHEKA_000_000","（★未使用／削除予定★）"
14,"TEXT_WARPINNTULIYOLLAL_PESHEKA_000_150","（★未使用／削除予定★）"
15,"TEXT_WARPINNTULIYOLLAL_PESHEKA_000_200","（★未使用／削除予定★）"
16,"TEXT_WARPINNTULIYOLLAL_PESHEKA_000_201","（★未使用／削除予定★）"
17,"TEXT_WARPINNTULIYOLLAL_PESHEKA_000_202","（★未使用／削除予定★）"
18,"TEXT_WARPINNTULIYOLLAL_PESHEKA_000_203","（★未使用／削除予定★）"
19,"TEXT_WARPINNTULIYOLLAL_PESHEKA_000_204","（★未使用／削除予定★）"
