key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZK003_03594_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
참견쟁이 아모로트 시민은 모험가의 복장이 신경 쓰이는 모양이다."
1,"TEXT_LUCKZK003_03594_SEQ_01","※ 이 퀘스트에는 <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 레벨 보정<13>FF2A024804F201FC03024904F201FD03EE82BE0249020103024802010320EBA088EBB2A820EBB3B4ECA095FF04EAB080FF04EC9DB4</13>
　설정되어 있습니다.

참견쟁이 아모로트 시민과 대화했다. 아무래도 모험가의 복장은 아모로트 시민으로서는 적합하지 않은 모양이다. 로브를 받기 위해 민중 토론관 앞에 있는 '온화한 아모로트 시민'과 대화하자."
2,"TEXT_LUCKZK003_03594_SEQ_02","온화한 아모로트 시민과 대화했다. 로브는 이미 처분해버렸다고 한다. 다른 로브를 얻을 수 있는지 알아보기 위해 창조물 관리국에서 '이데아 각출 담당 직원'과 대화하자."
3,"TEXT_LUCKZK003_03594_SEQ_03","이데아 각출 담당 직원과 대화했다. 로브를 창조하기에는 에테르가 부족한 모양이다. 아모로트에 서식하는 '<Sheet(BNpcName,8621,0)/>'의 체력을 떨어뜨린 다음 '<Sheet(EventItem,2002613,0)/>'<13>FF15022811FF0A4576656E744974656DF61E8EB50103FF04EBA5BCFF04EC9D84</13> 사용해서 포획하자."
4,"TEXT_LUCKZK003_03594_SEQ_04","<Sheet(BNpcName,8621,0)/><13>FF1302280FFF09424E70634E616D65F221AD0103FF04EBA5BCFF04EC9D84</13> 포획했다. 창조물 관리국에 있는 '이데아 각출 담당 직원'에게 '<Sheet(EventItem,2002614,0)/>'<13>FF15022811FF0A4576656E744974656DF61E8EB60103FF04EBA5BCFF04EC9D84</13> 건네자."
5,"TEXT_LUCKZK003_03594_SEQ_05","이데아 각출 담당 직원에게 <Sheet(EventItem,2002614,0)/><13>FF15022811FF0A4576656E744974656DF61E8EB60103FF04EBA5BCFF04EC9D84</13> 건넸다. 로브의 개념을 새긴 에테르 결정을 받았지만, 모험가의 힘으로는 로브 창조가 어려운 모양이다."
6,"TEXT_LUCKZK003_03594_SEQ_06",""
7,"TEXT_LUCKZK003_03594_SEQ_07",""
