key,0,1
#,,
int32,str,str
0,"TEXT_FESPDY2026FATEDISGUISE_00951_HANDMAID00476_000_010","어떻게 하시겠습니까?
프린세스데이 특별 공연에 참가하고 싶으시거나,
설명을 듣고 싶으시면 편하게 말씀해 주세요!"
1,"TEXT_FESPDY2026FATEDISGUISE_00951_Q1_000_000","무엇을 하시겠습니까?"
2,"TEXT_FESPDY2026FATEDISGUISE_00951_A1_000_001","공연에 참가한다"
3,"TEXT_FESPDY2026FATEDISGUISE_00951_A1_000_002","공연 설명을 듣는다"
4,"TEXT_FESPDY2026FATEDISGUISE_00951_A1_000_003","취소"
5,"TEXT_FESPDY2026FATEDISGUISE_00951_SYSTEM_000_020","돌발 임무 '프린세스데이 특별 길거리 공연'에 참가하려면
투사 또는 마법사 클래스여야 합니다."
6,"TEXT_FESPDY2026FATEDISGUISE_00951_HANDMAID00476_000_021","알겠습니다!
그렇다면 누구에게 성원을 보내고 싶은지
가르쳐주시겠습니까?"
7,"TEXT_FESPDY2026FATEDISGUISE_00951_Q2_000_000","주로 누구에게 성원을 보낼까?"
8,"TEXT_FESPDY2026FATEDISGUISE_00951_A2_000_001","나루미"
9,"TEXT_FESPDY2026FATEDISGUISE_00951_A2_000_002","우라라"
10,"TEXT_FESPDY2026FATEDISGUISE_00951_A2_000_003","마샤 마카라카"
11,"TEXT_FESPDY2026FATEDISGUISE_00951_A2_000_004","피콧"
12,"TEXT_FESPDY2026FATEDISGUISE_00951_A2_100_004","추천해줘!"
13,"TEXT_FESPDY2026FATEDISGUISE_00951_A2_000_005","돌아가기"
14,"TEXT_FESPDY2026FATEDISGUISE_00951_CONFIRM_000_001","나루미에게 성원을 보내시겠습니까?"
15,"TEXT_FESPDY2026FATEDISGUISE_00951_CONFIRM_000_002","우라라에게 성원을 보내시겠습니까?"
16,"TEXT_FESPDY2026FATEDISGUISE_00951_CONFIRM_000_003","마샤 마카라카에게 성원을 보내시겠습니까?"
17,"TEXT_FESPDY2026FATEDISGUISE_00951_CONFIRM_000_004","피콧에게 성원을 보내시겠습니까?"
18,"TEXT_FESPDY2026FATEDISGUISE_00951_CONFIRM_100_004","성원을 보내고 싶은 사람을 자동으로 선택하시겠습니까?"
