key,0,1
#,,
int32,str,str
0,"TEXT_BANQIQ022_03801_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정(직업 변경 제한)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
호파루의 소반에 있는 챠크루리 코테루는 롱카 황제의 '키타리족 수호설'을 주장하고 있는 듯하다."
1,"TEXT_BANQIQ022_03801_SEQ_01","※ 이 퀘스트에는
 '<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 레벨 보정(직업 변경 제한)'<13>FF40024804F201FC03024904F201FD03EE82BE0249020103024802010320EBA088EBB2A820EBB3B4ECA09528ECA781EC978520EBB380EAB2BD20ECA09CED959C29FF04EAB080FF04EC9DB4</13> 적용됩니다.
 퀘스트 수락 시점의 직업으로만 진행할 수 있습니다.

챠크루리 코테루와 대화했다. 그의 주장을 토대로 석비 복원이 이루어질 것이라 한다. 다시 챠크루리 코테루와 대화하자."
2,"TEXT_BANQIQ022_03801_SEQ_02","루리 발굴대의 키타리들은 '첫 번째 석비'의 복원이 완료되어 굉장히 기쁜 듯하다. 앞으로도 키타리족의 발굴을 돕도록 하자!"
3,"TEXT_BANQIQ022_03801_SEQ_03",""
4,"TEXT_BANQIQ022_03801_SEQ_04",""
5,"TEXT_BANQIQ022_03801_SEQ_05",""
6,"TEXT_BANQIQ022_03801_SEQ_06",""
7,"TEXT_BANQIQ022_03801_SEQ_07",""
8,"TEXT_BANQIQ022_03801_SEQ_08",""
9,"TEXT_BANQIQ022_03801_SEQ_09",""
10,"TEXT_BANQIQ022_03801_SEQ_10",""
11,"TEXT_BANQIQ022_03801_SEQ_11",""
12,"TEXT_BANQIQ022_03801_SEQ_12",""
13,"TEXT_BANQIQ022_03801_SEQ_13",""
14,"TEXT_BANQIQ022_03801_SEQ_14",""
15,"TEXT_BANQIQ022_03801_SEQ_15",""
16,"TEXT_BANQIQ022_03801_SEQ_16",""
17,"TEXT_BANQIQ022_03801_SEQ_17",""
18,"TEXT_BANQIQ022_03801_SEQ_18",""
19,"TEXT_BANQIQ022_03801_SEQ_19",""
20,"TEXT_BANQIQ022_03801_SEQ_20",""
21,"TEXT_BANQIQ022_03801_SEQ_21",""
22,"TEXT_BANQIQ022_03801_SEQ_22",""
23,"TEXT_BANQIQ022_03801_SEQ_23",""
24,"TEXT_BANQIQ022_03801_TODO_00","챠크루리 코테루와 대화"
25,"TEXT_BANQIQ022_03801_TODO_01",""
26,"TEXT_BANQIQ022_03801_TODO_02",""
27,"TEXT_BANQIQ022_03801_TODO_03",""
28,"TEXT_BANQIQ022_03801_TODO_04",""
29,"TEXT_BANQIQ022_03801_TODO_05",""
30,"TEXT_BANQIQ022_03801_TODO_06",""
31,"TEXT_BANQIQ022_03801_TODO_07",""
32,"TEXT_BANQIQ022_03801_TODO_08",""
33,"TEXT_BANQIQ022_03801_TODO_09",""
34,"TEXT_BANQIQ022_03801_TODO_10",""
35,"TEXT_BANQIQ022_03801_TODO_11",""
36,"TEXT_BANQIQ022_03801_TODO_12",""
37,"TEXT_BANQIQ022_03801_TODO_13",""
38,"TEXT_BANQIQ022_03801_TODO_14",""
39,"TEXT_BANQIQ022_03801_TODO_15",""
40,"TEXT_BANQIQ022_03801_TODO_16",""
41,"TEXT_BANQIQ022_03801_TODO_17",""
42,"TEXT_BANQIQ022_03801_TODO_18",""
43,"TEXT_BANQIQ022_03801_TODO_19",""
44,"TEXT_BANQIQ022_03801_TODO_20",""
45,"TEXT_BANQIQ022_03801_TODO_21",""
46,"TEXT_BANQIQ022_03801_TODO_22",""
47,"TEXT_BANQIQ022_03801_TODO_23",""
48,"TEXT_BANQIQ022_03801_CHAQURLQHOTL_000_001","소인이 생각한 롱카 황제 '키타리족 수호설'이
맞다고 생각하시옵니까?"
49,"TEXT_BANQIQ022_03801_CHAQURLQHOTL_000_002","'첫 번째 석비'는 초대 황제와 키타리가 만나는 장면이옵니다.
황제는 약한 키타리를 마물로부터 검으로 보호해 주었고
키타리족과 황제는 서로를 신뢰하는 친구가 된 것이옵니다!"
50,"TEXT_BANQIQ022_03801_SYSTEM_000_003","'챠크루리 코테루'의 설을 믿고 이야기를 진행하면
그의 주장을 토대로 석비가 복원되고,
'키타루리 나토루'의 주장에 따라 복원되는 결과는 볼 수 없습니다."
51,"TEXT_BANQIQ022_03801_SYSTEM_000_004","어느 쪽을 진행해도 획득 가능한 아이템과
앞으로의 임무는 동일합니다.
계승되어야 한다고 생각되는 역사를 선택하십시오."
52,"TEXT_BANQIQ022_03801_Q1_000_000","'챠크루리 코테루'의 설을 지지하고
이야기를 진행하시겠습니까?"
53,"TEXT_BANQIQ022_03801_CHAQURLQHOTL_100_005","와아!!
<Highlight>ObjectParameter(1)</Highlight> 님께서도 그리 생각하신다면
틀림없을 것이옵니다!"
54,"TEXT_BANQIQ022_03801_QITARLNATL_000_006","챠크루리의 설이 인정을 받았으니…… 부모로서 기쁠 뿐이오.
소인은 석비 복원을 돕도록 하겠소!"
55,"TEXT_BANQIQ022_03801_CHAQURLQHOTL_000_007","선조님의 석비, 드디어 만날 수 있겠군요!
<Highlight>ObjectParameter(1)</Highlight> 님도 지켜봐 주셨으면 하옵니다.
준비가 다 되면 소인에게 말을 걸어주세요!"
56,"TEXT_BANQIQ022_03801_CHAQURLQHOTL_000_008","그럼 바로 발굴대 장인분들에게
석비를 만들어 달라고 하겠사옵니다!"
