key,0,1
#,,
int32,str,str
0,"TEXT_FESXMS503_03724_SEQ_00","※ 이 퀘스트는 기간 한정 퀘스트입니다.

미 케토 야외음악당에 있는 아므 가란지에게 앙코르 요청이 쇄도하는 모양이다. "
1,"TEXT_FESXMS503_03724_SEQ_01","※ 이 퀘스트는 기간 한정 이벤트 개최 기간에만
   진행하실 수 있습니다.
   개최 기간이 끝나면 진행하실 수 없으니 주의하십시오.
   기간 등 자세한 사항은 공식 홈페이지를 참조하시기 바랍니다.

미 케토 야외음악당에 있는 '차분한 별빛축제 실행위원'이나 '열혈 별빛축제 실행위원'에게 말을 걸어 거룩한 밤의 음악회를 시작하자."
2,"TEXT_FESXMS503_03724_SEQ_02","거룩한 밤의 음악회가 무사히 종료되었다. 미 케토 야외음악당에 있는 '아므 가란지'에게 보고하자."
3,"TEXT_FESXMS503_03724_SEQ_03","아므 가란지에게 보고했다. '별빛축제' 기간 중에는 반복해서 음악회에 참가할 수 있다고 한다. 앞으로도 어린이들을 위해서 별빛축제 실행위원에게 협력하자."
4,"TEXT_FESXMS503_03724_SEQ_04",""
5,"TEXT_FESXMS503_03724_SEQ_05",""
6,"TEXT_FESXMS503_03724_SEQ_06",""
7,"TEXT_FESXMS503_03724_SEQ_07",""
8,"TEXT_FESXMS503_03724_SEQ_08",""
9,"TEXT_FESXMS503_03724_SEQ_09",""
10,"TEXT_FESXMS503_03724_SEQ_10",""
11,"TEXT_FESXMS503_03724_SEQ_11",""
12,"TEXT_FESXMS503_03724_SEQ_12",""
13,"TEXT_FESXMS503_03724_SEQ_13",""
14,"TEXT_FESXMS503_03724_SEQ_14",""
15,"TEXT_FESXMS503_03724_SEQ_15",""
16,"TEXT_FESXMS503_03724_SEQ_16",""
17,"TEXT_FESXMS503_03724_SEQ_17",""
18,"TEXT_FESXMS503_03724_SEQ_18",""
19,"TEXT_FESXMS503_03724_SEQ_19",""
20,"TEXT_FESXMS503_03724_SEQ_20",""
21,"TEXT_FESXMS503_03724_SEQ_21",""
22,"TEXT_FESXMS503_03724_SEQ_22",""
23,"TEXT_FESXMS503_03724_SEQ_23",""
24,"TEXT_FESXMS503_03724_TODO_00","미 케토 야외음악당에 있는 별빛축제 실행위원 중 누군가와 대화하고 
거룩한 밤의 음악회 성공시키기"
