key,0,1
#,,
int32,str,str
0,"TEXT_FESANV2018TRANSFORM_00535_TRANSFORMHLW2018_000_000","키키키…… 난 '변신 마술'을 잘하는, 보잘것없는 임프.
내 비장의 힘으로 당신이 머릿속으로 떠올리는 인물을
변신시켜드리죠!"
1,"TEXT_FESANV2018TRANSFORM_00535_TRANSFORMHLW2018_100_001","자, 지금까지 모험을 하면서 만난 사람들 중에서
강한 인상을 받았던 분을 떠올려보세요!"
2,"TEXT_FESANV2018TRANSFORM_00535_TRANSFORMHLW2018_000_001","그럼 먼저 지금까지 해왔던 모험을 하나씩 떠올려주세요!
키키키…… 자, 뭔가 보이는 것이 있나요?"
3,"TEXT_FESANV2018TRANSFORM_00535_Q1_000_000","뭐라고 대답하시겠습니까?"
4,"TEXT_FESANV2018TRANSFORM_00535_A1_000_001","신생의 모험"
5,"TEXT_FESANV2018TRANSFORM_00535_A1_000_002","창천의 모험"
6,"TEXT_FESANV2018TRANSFORM_00535_A1_000_003","홍련의 모험"
7,"TEXT_FESANV2018TRANSFORM_00535_TRANSFORMHLW2018_000_003","그럼 그 모험을 하면서 만난 사람들 중에서
강한 인상을 받았던 분을 떠올려 보세요!"
8,"TEXT_FESANV2018TRANSFORM_00535_Q2_000_000","뭐라고 대답하시겠습니까?"
9,"TEXT_FESANV2018TRANSFORM_00535_A2_000_001","복숭아빛 머리칼이 사랑스러운 고귀한 라라펠 여성"
10,"TEXT_FESANV2018TRANSFORM_00535_A2_000_002","차분하지만 굳은 심지를 갖고 있는 뿔의 아이 중 한 여성"
11,"TEXT_FESANV2018TRANSFORM_00535_A2_000_003","흔들림 없는 신념과 자신감이 가득한 루가딘 여성"
12,"TEXT_FESANV2018TRANSFORM_00535_A2_000_004","용맹하고 투지 넘치는 휴런 남성"
13,"TEXT_FESANV2018TRANSFORM_00535_A2_000_005","흑발이며 푸른 눈동자에 강한 의지가 깃들어 있는 엘레젠 남성"
14,"TEXT_FESANV2018TRANSFORM_00535_A2_000_006","노란색 귀가 달린 후드 로브를 입은 라라펠 여성"
15,"TEXT_FESANV2018TRANSFORM_00535_A2_000_007","성품이 좋고 대범한 동방의 휴런 남성"
16,"TEXT_FESANV2018TRANSFORM_00535_A2_000_008","닌자 기술에 능하며 충성심 높은 아우라족 여성"
17,"TEXT_FESANV2018TRANSFORM_00535_A2_000_009","씩씩하며 호쾌한, 긍지 높은 아우라족 여성"
18,"TEXT_FESANV2018TRANSFORM_00535_A2_000_010","싸움 실력이 뛰어난, 거만하고 고독한 아우라족 남성"
19,"TEXT_FESANV2018TRANSFORM_00535_A2_000_011","신탁에 순종하며 살고 있는, 가녀리고 연약한 여성"
20,"TEXT_FESANV2018TRANSFORM_00535_A2_000_012","체술에 능하며 진홍빛 의상을 입고 있는 휴런 여성"
21,"TEXT_FESANV2018TRANSFORM_00535_A2_000_013","취소"
22,"TEXT_FESANV2018TRANSFORM_00535_TRANSFORMHLW2018_000_010","키키키…… 보입니다, 보여요!
오래 기다리셨습니다, 특별한 마술을 걸어드리죠!"
23,"TEXT_FESANV2018TRANSFORM_00535_SYSTEM_000_012","（★未使用／削除予定★）"
24,"TEXT_FESANV2018TRANSFORM_00535_SYSTEM_000_013","'변신 상태'를 풀고 싶을 때는
전용 액션 '변신 해제'를 사용하면
원래대로 돌아갈 수 있습니다."
25,"TEXT_FESANV2018TRANSFORM_00535_TRANSFORMHLW2018_000_020","키키키…… 저는 그저, 보잘것없는 임프.
아무래도 많이 바쁘신 것 같군요.
지금 저 같은 건 신경 쓰지 마십시오…… 키킥."
