key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZE008_04247_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
베스트웨이 피난처에 있는 불끈불끈 레포릿은 경비 기계를 수정하는 방법에 대해 고민하는 모양이다."
1,"TEXT_AKTKZE008_04247_SEQ_01",""
2,"TEXT_AKTKZE008_04247_SEQ_02",""
3,"TEXT_AKTKZE008_04247_SEQ_03",""
4,"TEXT_AKTKZE008_04247_SEQ_04",""
5,"TEXT_AKTKZE008_04247_SEQ_05",""
6,"TEXT_AKTKZE008_04247_SEQ_06",""
7,"TEXT_AKTKZE008_04247_SEQ_07",""
8,"TEXT_AKTKZE008_04247_SEQ_08",""
9,"TEXT_AKTKZE008_04247_SEQ_09",""
10,"TEXT_AKTKZE008_04247_SEQ_10",""
11,"TEXT_AKTKZE008_04247_SEQ_11",""
12,"TEXT_AKTKZE008_04247_SEQ_12",""
13,"TEXT_AKTKZE008_04247_SEQ_13",""
14,"TEXT_AKTKZE008_04247_SEQ_14",""
15,"TEXT_AKTKZE008_04247_SEQ_15",""
16,"TEXT_AKTKZE008_04247_SEQ_16",""
17,"TEXT_AKTKZE008_04247_SEQ_17",""
18,"TEXT_AKTKZE008_04247_SEQ_18",""
19,"TEXT_AKTKZE008_04247_SEQ_19",""
20,"TEXT_AKTKZE008_04247_SEQ_20",""
21,"TEXT_AKTKZE008_04247_SEQ_21",""
22,"TEXT_AKTKZE008_04247_SEQ_22",""
23,"TEXT_AKTKZE008_04247_SEQ_23",""
24,"TEXT_AKTKZE008_04247_TODO_00","불끈불끈 레포릿과 대화하고
<Sheet(BNpcName,11009,0)/> 처치"
25,"TEXT_AKTKZE008_04247_TODO_01","불끈불끈 레포릿에게 보고"
26,"TEXT_AKTKZE008_04247_TODO_02","불끈불끈 레포릿과 대화"
27,"TEXT_AKTKZE008_04247_TODO_03","불끈불끈 레포릿과 다시 대화"
28,"TEXT_AKTKZE008_04247_TODO_04",""
29,"TEXT_AKTKZE008_04247_TODO_05",""
30,"TEXT_AKTKZE008_04247_TODO_06",""
31,"TEXT_AKTKZE008_04247_TODO_07",""
32,"TEXT_AKTKZE008_04247_TODO_08",""
