key,0,1
#,,
int32,str,str
0,"TEXT_BANSYL106_01262_SEQ_00","실프 임시 주거지의 토나크시아는 말썽쟁이 실프들이 하는 짓에 화가 난 듯하다."
1,"TEXT_BANSYL106_01262_SEQ_01","토나크시아의 의뢰를 받았다. 종달새의 지저귐에 있는 '신비로운 실프'와 대화하자."
2,"TEXT_BANSYL106_01262_SEQ_02","신비로운 실프와 대화하자, 그는 모험가에게 '은신의 주술'을 걸어주었다. 종달새의 지저귐에 있는 <Sheet(EObj,2003075,0)/><13>FF1002280CFF05454F626AF61E90830103FF04EBA5BCFF04EC9D84</13> 조사하여 <Sheet(EObj,2003075,0)/><13>FF1002280CFF05454F626AF61E90830103FF04EBA5BCFF04EC9D84</13> 손에 넣자.

※ 투명 상태는 일정 시간이 지나면 효과가 사라집니다. <Sheet(EObj,2003079,0)/><13>FF1002280CFF05454F626AF61E90870103FF04EBA5BCFF04EC9D84</13> 만지면 투명 상태의 지속시간이 연장됩니다."
3,"TEXT_BANSYL106_01262_SEQ_03","<Sheet(EObj,2003075,0)/><13>FF1002280CFF05454F626AF61E90830103FF04EBA5BCFF04EC9D84</13> 손에 넣었다. 실프 임시 주거지에 있는 '토나크시아'에게 <Sheet(EObj,2003075,0)/><13>FF1002280CFF05454F626AF61E90830103FF04EBA5BCFF04EC9D84</13> 건네자."
4,"TEXT_BANSYL106_01262_SEQ_04","토나크시아에게 <Sheet(EObj,2003075,0)/><13>FF1002280CFF05454F626AF61E90830103FF04EBA5BCFF04EC9D84</13> 건넸다. 토나크시아의 의도대로 말썽쟁이 실프들의 의식을 중단시키는 데 성공했다. 토나크시아가 앞으로도 잘 부탁한다고 말했다. 그는 점차 모험가를 신뢰하게 된 모양이다. 다음 기회에도 협조해주자."
5,"TEXT_BANSYL106_01262_SEQ_05",""
6,"TEXT_BANSYL106_01262_SEQ_06",""
7,"TEXT_BANSYL106_01262_SEQ_07",""
8,"TEXT_BANSYL106_01262_SEQ_08",""
9,"TEXT_BANSYL106_01262_SEQ_09",""
10,"TEXT_BANSYL106_01262_SEQ_10",""
11,"TEXT_BANSYL106_01262_SEQ_11",""
12,"TEXT_BANSYL106_01262_SEQ_12",""
13,"TEXT_BANSYL106_01262_SEQ_13",""
14,"TEXT_BANSYL106_01262_SEQ_14",""
