key,0,1
#,,
int32,str,str
0,"TEXT_FESEVN101_02206_SEQ_00","※ 이 퀘스트는 기간 한정 퀘스트입니다.

림사 로민사의 기자 레무무는 취재에 협조해줄 사람을 구하는 모양이다."
1,"TEXT_FESEVN101_02206_SEQ_01","※ 이 퀘스트는 기간 한정 이벤트 개최 기간에만
   진행하실 수 있습니다.
   개최 기간이 끝나면 진행하실 수 없으니 주의하십시오.
   자세한 사항은 공식 홈페이지를 참조하시기 바랍니다.

레무무와 대화했다. 그녀는 동쪽 나라에서 온 듯한 신기한 여행자를 취재하고 싶다고 한다. 취재에 동행하기 위해, 동부 라노시아 '코스타 델 솔'에서 '레무무'와 대화하자."
2,"TEXT_FESEVN101_02206_SEQ_02","레무무와 대화를 나누던 중, 소문의 여행자 '이로하'가 나타났다. 공교롭게도 그녀는 기억을 잃은 상태였지만, '아마츠류: 거울'이라는 기술을 연마하기 위해 수행 중이었다는 것만은 기억하고 있었다. 이로하의 수행을 도와주면 기억을 되찾을 계기가 생길지도 모른다. 동부 라노시아 '흰갈매기 탑' 북동쪽에서 발생하는 돌발 임무 '당신을 위해서'에 참가하여 임무에 기여하면 얻을 수 있는 <Sheet(EventItem,2001928,0)/><13>FF15022811FF0A4576656E744974656DF61E8C080103FF04EBA5BCFF04EC9D84</13> 손에 넣자."
3,"TEXT_FESEVN101_02206_SEQ_03","<Sheet(EventItem,2001928,0)/><13>FF15022811FF0A4576656E744974656DF61E8C080103FF04EBA5BCFF04EC9D84</13> 손에 넣었다. 림사 로민사 '방파벽 회관'에 있는 '이로하'에게 가져다주자."
4,"TEXT_FESEVN101_02206_SEQ_04","이로하가 기억을 조금 되찾았다. 다음은 검은장막 숲 중부삼림 '하우케타 별궁' 부근에서 발생하는 돌발 임무 '위대한 무사의 증거'에 참가하여 임무에 기여하면 얻을 수 있는 <Sheet(EventItem,2001929,0)/><13>FF15022811FF0A4576656E744974656DF61E8C090103FF04EBA5BCFF04EC9D84</13> 손에 넣자."
5,"TEXT_FESEVN101_02206_SEQ_05","<Sheet(EventItem,2001929,0)/><13>FF15022811FF0A4576656E744974656DF61E8C090103FF04EBA5BCFF04EC9D84</13> 손에 넣었다. 그리다니아 '칼라인 카페'에 있는 '이로하'에게 가져다주자."
6,"TEXT_FESEVN101_02206_SEQ_06","이로하가 기억을 조금 더 되찾았다. 다음은 남부 다날란 '비레고의 강타' 동쪽에서 발생하는 돌발 임무 '무시무시한 강적'에 참가하여 임무에 기여하면 얻을 수 있는 <Sheet(EventItem,2001930,0)/><13>FF15022811FF0A4576656E744974656DF61E8C0A0103FF04EBA5BCFF04EC9D84</13> 손에 넣자."
7,"TEXT_FESEVN101_02206_SEQ_07","<Sheet(EventItem,2001930,0)/><13>FF15022811FF0A4576656E744974656DF61E8C0A0103FF04EBA5BCFF04EC9D84</13> 손에 넣었다. 울다하 '모래늪'에 있는 '이로하'에게 가져다주자."
