key,0,1
#,,
int32,str,str
0,"TEXT_CLSACN020_00453_SEQ_00","비술사 길드 접수원 무리는 길드 입문 절차에 앞서 모험가의 마음을 확인하고 싶은 듯하다."
1,"TEXT_CLSACN020_00453_SEQ_01","무리는 길드마스터 대리인 '투뷔르가임'에게 길드에 입문할 뜻을 전하라고 한다. 비술사 길드 책장 앞에 있는 '투뷔르가임'에게 말을 걸자."
2,"TEXT_CLSACN020_00453_SEQ_02","투뷔르가임은 정말 비술을 배울 뜻이 있는지 증명하기 위한 시련을 내렸다. 저지 라노시아에서 비술로 '쥐', '달해파리', '무당벌레'를 3마리씩 처치하자."
3,"TEXT_CLSACN020_00453_SEQ_03","지정된 마물을 처치했다. 비술사 길드에 있는 '투뷔르가임'에게 보고하자."
4,"TEXT_CLSACN020_00453_SEQ_04","모험가가 시련을 달성하여 자신의 각오를 증명하자, 비술사 길드마스터 대리인 투뷔르가임은 모험가에게 길드에 들어와도 좋다고 허락했다. 그녀의 가르침을 실천하며 실전 경험을 쌓아서 비술에 익숙해지도록 하자.

※ 비술사 레벨이 5 이상 되면 투뷔르가임에게 다음 비술사 퀘스트를 받을 수 있습니다."
5,"TEXT_CLSACN020_00453_SEQ_05",""
6,"TEXT_CLSACN020_00453_SEQ_06",""
7,"TEXT_CLSACN020_00453_SEQ_07",""
8,"TEXT_CLSACN020_00453_SEQ_08",""
9,"TEXT_CLSACN020_00453_SEQ_09",""
10,"TEXT_CLSACN020_00453_SEQ_10",""
11,"TEXT_CLSACN020_00453_SEQ_11",""
12,"TEXT_CLSACN020_00453_SEQ_12",""
13,"TEXT_CLSACN020_00453_SEQ_13",""
14,"TEXT_CLSACN020_00453_SEQ_14",""
15,"TEXT_CLSACN020_00453_SEQ_15",""
16,"TEXT_CLSACN020_00453_SEQ_16",""
17,"TEXT_CLSACN020_00453_SEQ_17",""
18,"TEXT_CLSACN020_00453_SEQ_18",""
19,"TEXT_CLSACN020_00453_SEQ_19",""
20,"TEXT_CLSACN020_00453_SEQ_20",""
21,"TEXT_CLSACN020_00453_SEQ_21",""
22,"TEXT_CLSACN020_00453_SEQ_22",""
23,"TEXT_CLSACN020_00453_SEQ_23",""
24,"TEXT_CLSACN020_00453_TODO_00","투뷔르가임과 대화"
