key,0,1
#,,
int32,str,str
0,"TEXT_XXAUSC603_03871_SEQ_00","망자의 종소리의 사르크 마우르크는 구하는 물건이 있는 듯하다."
1,"TEXT_XXAUSC603_03871_SEQ_01","사르크 마우르크가 제국군 장비를 구해달라고 했다. <Sheet(BNpcName,1813,0)/>, <Sheet(BNpcName,1812,0)/>, <Sheet(BNpcName,1811,0)/> 중 하나를 처치하고 <Sheet(EventItem,2003021,0)/><13>FF15022811FF0A4576656E744974656DF61E904D0103FF04EBA5BCFF04EC9D84</13> 손에 넣자. 또 <Sheet(BNpcName,1809,0)/> 또는 <Sheet(BNpcName,1810,0)/><13>FF1302280FFF09424E70634E616D65F207120103FF04EBA5BCFF04EC9D84</13> 처치하고 <Sheet(EventItem,2003022,0)/><13>FF15022811FF0A4576656E744974656DF61E904E0103FF04EBA5BCFF04EC9D84</13> 손에 넣자."
2,"TEXT_XXAUSC603_03871_SEQ_02","제국군 장비를 모두 손에 넣었다. 망자의 종소리에 있는 '사르크 마우르크'에게 <Sheet(EventItem,2003021,0)/><13>FF15022811FF0A4576656E744974656DF61E904D0103FF04EC9980FF04EAB3BC</13> <Sheet(EventItem,2003022,0)/><13>FF15022811FF0A4576656E744974656DF61E904E0103FF04EBA5BCFF04EC9D84</13> 보여주자."
3,"TEXT_XXAUSC603_03871_SEQ_03","손에 넣은 장비가 너덜너덜해 수선할 필요가 있다. 망자의 종소리의 공방 '다이아몬드 제련소'에 있는 '에기놀프'에게 '<Sheet(EventItem,2003021,0)/>'<13>FF15022811FF0A4576656E744974656DF61E904D0103FF04EC9980FF04EAB3BC</13> '<Sheet(EventItem,2003022,0)/>'<13>FF15022811FF0A4576656E744974656DF61E904E0103FF04EBA5BCFF04EC9D84</13> 건네자."
4,"TEXT_XXAUSC603_03871_SEQ_04","수선된 장비를 손에 넣었다. 망자의 종소리로 돌아가서 '사르크 마우르크'에게 <Sheet(EventItem,2003023,0)/><13>FF15022811FF0A4576656E744974656DF61E904F0103FF04EC9980FF04EAB3BC</13> <Sheet(EventItem,2003024,0)/><13>FF15022811FF0A4576656E744974656DF61E90500103FF04EBA5BCFF04EC9D84</13> 건네자."
5,"TEXT_XXAUSC603_03871_SEQ_05","드디어 변장할 준비를 마쳤다. 그나저나 길드 사람들 말과 사르크 마우르크의 말 중에 무엇이 맞는 것일까. 사르크 마우르크가 뭔가 감추고 있는 것은 분명한데……."
6,"TEXT_XXAUSC603_03871_SEQ_06",""
7,"TEXT_XXAUSC603_03871_SEQ_07",""
